,Clear_day_cov,Clear_night_cov,Day_view_angle,Day_view_time,Emis_31,Emis_32,LST_Day_1km,LST_Night_1km,Night_view_angle,Night_view_time,QC_Day,QC_Night
6180,2550.6,2653.230769230769,69.66666666666667,109.06666666666666,246.0,247.8,15630.933333333332,14896.461538461539,70.84615384615384,221.15384615384616,8.25,27.2
6181,2561.866666666667,2680.846153846154,69.8,109.06666666666666,246.0,247.73333333333332,15603.666666666666,14896.0,70.84615384615384,221.15384615384616,8.25,27.2
6182,2626.5333333333333,2582.846153846154,69.8,109.13333333333334,246.0,247.8,15623.733333333334,14877.692307692309,70.92307692307692,221.15384615384616,8.25,17.75
6183,2670.733333333333,2618.769230769231,69.86666666666666,109.13333333333334,246.0,247.8,15659.8,14873.0,70.92307692307692,221.15384615384616,8.25,17.75
6184,2675.866666666667,2667.769230769231,69.86666666666666,109.13333333333334,246.0,247.66666666666666,15659.866666666667,14881.538461538461,71.0,221.15384615384616,8.25,17.75
6185,2689.214285714286,2603.769230769231,74.0,109.64285714285714,246.0,247.92857142857142,15665.357142857143,14903.461538461539,71.07692307692308,221.15384615384616,4.3125,17.75
6186,2652.1428571428573,2601.3846153846152,74.07142857142857,109.71428571428571,246.14285714285714,248.0,15615.92857142857,14928.76923076923,71.07692307692308,221.15384615384616,4.3125,17.75
6187,2747.785714285714,2764.153846153846,74.21428571428571,109.71428571428571,246.14285714285714,248.0,15584.785714285714,14947.846153846154,71.07692307692308,221.15384615384616,4.3125,17.75
6188,2574.923076923077,2301.6153846153848,75.92307692307692,109.6923076923077,246.0,247.85714285714286,15567.076923076924,14945.846153846154,70.6923076923077,221.15384615384616,8.5,33.5
6189,2391.6428571428573,2327.5384615384614,73.42857142857143,109.42857142857143,246.07142857142858,247.78571428571428,15545.642857142857,14946.384615384615,70.6923076923077,221.15384615384616,12.4375,27.2
6190,2334.285714285714,2398.3846153846152,73.5,109.5,246.07142857142858,247.78571428571428,15571.785714285714,14950.153846153846,70.76923076923077,221.15384615384616,12.4375,27.2
6191,2455.6923076923076,2467.076923076923,76.15384615384616,109.84615384615384,246.14285714285714,248.0,15626.076923076924,14953.153846153846,70.84615384615384,221.15384615384616,8.5,27.2
